date,close,high,low,volume,code
2014-09-19,9.457,9.477,9.179,65201.0,000529
2014-09-22,9.189,9.487,9.139,55180.0,000529
2014-09-23,9.208,9.218,8.96,69013.0,000529
2014-09-24,9.557,9.557,9.099,104592.0,000529
2014-09-25,9.617,9.905,9.507,131948.0,000529
2014-09-26,9.776,9.915,9.477,100551.0,000529
2014-09-29,10.104,10.134,9.756,135312.0,000529
2014-09-30,9.915,10.134,9.865,90091.0,000529
2014-10-08,10.294,10.433,9.865,116451.0,000529
2014-10-09,10.094,10.433,10.005,142182.0,000529
2014-10-10,9.806,10.035,9.776,88630.0,000529
2014-10-13,9.995,10.114,9.856,78144.0,000529
2014-10-14,9.915,10.045,9.756,63811.0,000529
2014-10-15,9.965,10.005,9.656,71163.0,000529
2014-10-16,9.726,9.955,9.716,61320.0,000529
2014-10-17,9.965,10.045,9.547,110693.0,000529
2014-10-20,10.144,10.234,9.905,91841.0,000529
2014-10-21,9.786,10.184,9.746,91294.0,000529
2014-10-22,9.597,9.875,9.567,68291.0,000529
2014-10-23,9.308,9.716,9.268,63301.0,000529
2014-10-24,9.248,9.427,9.189,34110.0,000529
2014-10-27,9.238,9.338,9.129,26997.0,000529
2014-10-28,9.636,9.726,9.338,88584.0,000529
2014-10-29,9.846,9.856,9.507,82202.0,000529
2014-10-30,9.826,10.005,9.756,85862.0,000529
2014-10-31,9.696,9.885,9.646,63270.0,000529
2014-11-03,9.766,9.856,9.577,70316.0,000529
2014-11-04,9.766,9.816,9.646,56279.0,000529
2014-11-05,9.935,10.055,9.656,109562.0,000529
2014-11-06,9.836,10.005,9.656,54157.0,000529
2014-11-07,9.686,9.905,9.676,51081.0,000529
2014-11-10,9.736,9.746,9.587,71304.0,000529
2014-11-11,9.159,9.756,8.979,90566.0,000529
2014-11-12,10.075,10.075,9.437,282933.0,000529
2014-11-13,9.776,9.985,9.696,158666.0,000529
2014-11-14,9.557,9.776,9.268,82974.0,000529
2014-11-17,9.776,9.846,9.318,73846.0,000529
2014-11-18,9.706,9.776,9.557,48870.0,000529
2014-11-19,9.756,9.856,9.577,61332.0,000529
2014-11-20,9.915,10.035,9.666,96902.0,000529
2014-11-21,9.925,9.995,9.826,69498.0,000529
2014-11-24,9.865,10.104,9.846,81548.0,000529
2014-11-25,10.532,10.831,9.895,215165.0,000529
2014-11-26,10.861,10.921,10.343,201692.0,000529
2014-11-27,10.722,10.891,10.552,126853.0,000529
2014-11-28,10.513,10.751,10.333,103839.0,000529
2014-12-01,10.403,10.781,10.393,107985.0,000529
2014-12-02,10.513,10.712,10.313,94848.0,000529
2014-12-03,10.373,10.602,10.104,125211.0,000529
2014-12-04,10.353,10.473,10.234,91591.0,000529
2014-12-05,10.144,10.801,9.836,122419.0,000529
2014-12-08,9.895,10.094,9.796,148396.0,000529
2014-12-09,9.487,10.174,9.447,135660.0,000529
2014-12-10,9.796,9.816,9.437,71012.0,000529
2014-12-11,9.935,9.965,9.686,70721.0,000529
2014-12-12,10.144,10.214,9.786,87143.0,000529
2014-12-15,10.194,10.343,10.075,92105.0,000529
2014-12-16,10.194,10.473,10.015,71286.0,000529
2014-12-17,9.846,10.254,9.656,130217.0,000529
2014-12-18,9.676,9.826,9.627,76790.0,000529
2014-12-19,9.467,9.846,9.258,84556.0,000529
2014-12-22,9.029,9.457,8.661,102847.0,000529
2014-12-23,8.999,9.129,8.86,42407.0,000529
2014-12-24,9.109,9.129,8.989,38199.0,000529
2014-12-25,9.019,9.159,8.979,47187.0,000529
2014-12-26,9.039,9.119,8.77,67931.0,000529
2014-12-29,9.039,9.109,8.97,75498.0,000529
2014-12-30,8.522,9.029,8.472,81243.0,000529
2014-12-31,8.989,9.198,8.362,79914.0,000529
2015-01-05,9.109,9.298,8.989,81061.0,000529
2015-01-06,9.079,9.119,8.92,60473.0,000529
2015-01-07,9.109,9.218,8.989,41661.0,000529
2015-01-08,9.248,9.338,9.039,77285.0,000529
2015-01-09,9.039,9.278,9.039,48494.0,000529
2015-01-12,8.95,9.109,8.86,31914.0,000529
2015-01-13,8.989,9.029,8.89,30177.0,000529
2015-01-14,8.88,9.069,8.85,32108.0,000529
2015-01-15,8.93,8.999,8.88,33637.0,000529
2015-01-16,9.019,9.069,8.87,41378.0,000529
2015-01-19,8.681,9.039,8.462,48834.0,000529
2015-01-20,8.92,8.94,8.671,33785.0,000529
2015-01-21,9.288,9.328,8.93,78030.0,000529
2015-01-22,9.378,9.457,9.208,70834.0,000529
2015-01-23,9.457,9.457,9.218,95741.0,000529
2015-01-26,9.955,10.104,9.477,165482.0,000529
2015-01-27,9.915,10.045,9.716,103373.0,000529
2015-01-28,9.856,9.975,9.756,63112.0,000529
2015-01-29,9.756,9.875,9.676,43348.0,000529
2015-01-30,9.547,9.806,9.527,53400.0,000529
2015-02-02,9.527,9.696,9.408,34561.0,000529
2015-02-03,9.756,9.786,9.527,35047.0,000529
2015-02-04,9.706,9.895,9.636,38479.0,000529
2015-02-05,9.547,9.846,9.507,39160.0,000529
2015-02-06,9.537,9.686,9.437,39457.0,000529
2015-02-09,9.417,9.557,9.308,32189.0,000529
2015-02-10,9.328,9.417,9.179,33917.0,000529
2015-02-11,9.408,9.437,9.258,30809.0,000529
2015-02-12,9.467,9.477,9.358,28387.0,000529
2015-02-13,9.726,9.756,9.477,55479.0,000529
2015-02-16,10.045,10.084,9.756,94033.0,000529
2015-02-17,9.985,10.104,9.945,72462.0,000529
2015-02-25,10.065,10.224,9.965,69463.0,000529
2015-02-26,10.303,10.303,10.035,104720.0,000529
2015-02-27,10.313,10.383,10.174,85416.0,000529
2015-03-02,10.284,10.403,10.214,87980.0,000529
2015-03-03,9.905,10.323,9.865,131413.0,000529
