date,time,open,high,low,close,volume,total,code
2016/01/04,09:35,5901.84,5902.39,5897.85,5900.75,1058160.0,1780811264.0,000011
2016/01/04,09:40,5900.89,5901.21,5894.47,5894.47,398319.0,921670656.0,000011
2016/01/04,09:45,5894.58,5894.58,5881.64,5890.98,363243.0,868479744.0,000011
2016/01/04,09:50,5890.98,5891.22,5873.5,5873.5,456828.0,993266432.0,000011
2016/01/04,09:55,5874.31,5882.47,5874.21,5882.34,392190.0,1044661248.0,000011
2016/01/04,10:00,5882.48,5883.43,5875.74,5878.53,466893.0,793060352.0,000011
2016/01/04,10:05,5878.48,5878.5,5872.48,5872.48,426214.0,786554368.0,000011
2016/01/04,10:10,5872.46,5872.46,5853.34,5853.34,518507.0,556427264.0,000011
2016/01/04,10:15,5853.01,5853.01,5835.79,5835.79,548889.0,820056576.0,000011
2016/01/04,10:20,5835.59,5844.98,5831.31,5844.98,463888.0,646066176.0,000011
2016/01/04,10:25,5844.81,5849.08,5844.42,5844.48,429067.0,832094208.0,000011
2016/01/04,10:30,5844.82,5847.74,5844.34,5847.31,459649.0,669970432.0,000011
2016/01/04,10:35,5847.15,5847.15,5844.01,5845.9,366484.0,616141824.0,000011
2016/01/04,10:40,5846.01,5850.77,5845.99,5850.05,391863.0,807611392.0,000011
2016/01/04,10:45,5850.52,5850.88,5847.91,5848.05,305674.0,415995904.0,000011
2016/01/04,10:50,5848.14,5848.85,5845.38,5845.74,253287.0,362756096.0,000011
2016/01/04,10:55,5845.62,5845.83,5844.13,5844.91,209790.0,295593984.0,000011
2016/01/04,11:00,5844.9,5845.89,5844.31,5845.24,289964.0,510035968.0,000011
2016/01/04,11:05,5845.56,5846.31,5843.82,5843.82,269106.0,787972096.0,000011
2016/01/04,11:10,5844.28,5844.28,5841.17,5841.25,317781.0,810572800.0,000011
2016/01/04,11:15,5840.23,5840.33,5832.09,5832.76,422784.0,470524928.0,000011
2016/01/04,11:20,5832.46,5836.95,5832.03,5836.95,275201.0,294604800.0,000011
2016/01/04,11:25,5837.12,5838.09,5836.29,5837.36,293544.0,356515840.0,000011
2016/01/04,11:30,5837.39,5838.41,5834.69,5834.91,219222.0,229523456.0,000011
2016/01/04,13:05,5833.87,5833.87,5826.86,5826.92,364419.0,854364160.0,000011
2016/01/04,13:10,5826.95,5827.19,5821.77,5821.77,243475.0,584482816.0,000011
2016/01/04,13:15,5821.59,5821.67,5815.9,5816.35,293629.0,681777152.0,000011
2016/01/04,13:20,5816.32,5816.48,5816.16,5816.48,99366.0,862887936.0,000011
2016/01/04,13:25,5816.46,5816.48,5816.39,5816.4,48045.0,440385536.0,000011
2016/01/04,13:30,5816.4,5816.49,5810.97,5810.97,314581.0,887369728.0,000011
2016/01/04,13:35,5809.57,5809.81,5781.6,5784.98,647036.0,834908160.0,000011
2016/01/04,13:40,5784.98,5785.26,5784.98,5785.23,159338.0,1483251712.0,000011
2016/01/04,13:45,5785.26,5785.49,5785.21,5785.49,106219.0,985602048.0,000011
2016/01/04,13:50,5785.45,5785.66,5785.43,5785.61,241293.0,2376704000.0,000011
2016/01/04,13:55,5785.62,5785.62,5785.52,5785.58,116836.0,1094752256.0,000011
2016/01/04,14:00,5785.58,5785.59,5785.49,5785.52,152911.0,1502560256.0,000011
2016/01/04,14:05,5785.52,5785.59,5785.51,5785.55,55692.0,524814336.0,000011
2016/01/04,14:10,5785.55,5785.64,5785.54,5785.63,51242.0,466651136.0,000011
