date,time,open,high,low,close,volume,total,code
2016/01/04,09:35,2781.81,2781.81,2776.49,2780.35,663566.0,516823392.0,000015
2016/01/04,09:40,2780.69,2781.75,2772.89,2772.89,564010.0,456047328.0,000015
2016/01/04,09:45,2772.29,2772.29,2764.41,2767.78,657223.0,541803200.0,000015
2016/01/04,09:50,2767.29,2768.12,2750.38,2750.64,900107.0,794321664.0,000015
2016/01/04,09:55,2751.18,2754.09,2747.95,2754.09,871813.0,661677568.0,000015
2016/01/04,10:00,2753.86,2754.35,2750.11,2752.01,747175.0,592400384.0,000015
2016/01/04,10:05,2751.79,2753.02,2740.36,2740.36,782972.0,635344896.0,000015
2016/01/04,10:10,2739.9,2739.9,2714.83,2714.83,1411825.0,1132618240.0,000015
2016/01/04,10:15,2714.4,2714.4,2692.34,2692.34,1637728.0,1272250368.0,000015
2016/01/04,10:20,2692.68,2704.8,2686.49,2704.8,1295406.0,995217920.0,000015
2016/01/04,10:25,2705.7,2709.35,2702.3,2703.04,754682.0,580633600.0,000015
2016/01/04,10:30,2703.22,2706.42,2702.22,2703.72,644683.0,523626496.0,000015
2016/01/04,10:35,2702.94,2703.78,2700.17,2702.25,593340.0,453082112.0,000015
2016/01/04,10:40,2702.75,2709.86,2702.34,2709.39,565055.0,422601728.0,000015
2016/01/04,10:45,2710.0,2710.14,2704.76,2706.06,512987.0,397103104.0,000015
2016/01/04,10:50,2706.06,2706.06,2699.39,2699.39,474317.0,367846400.0,000015
2016/01/04,10:55,2699.97,2699.97,2696.53,2697.53,487061.0,383327232.0,000015
2016/01/04,11:00,2697.62,2704.34,2697.19,2704.32,323049.0,273823744.0,000015
2016/01/04,11:05,2703.6,2704.76,2699.73,2700.38,491065.0,337307648.0,000015
2016/01/04,11:10,2700.52,2700.79,2694.77,2694.77,581912.0,466592768.0,000015
2016/01/04,11:15,2693.87,2694.23,2683.61,2684.15,864036.0,653110272.0,000015
2016/01/04,11:20,2685.0,2689.27,2682.99,2688.5,633268.0,497112064.0,000015
2016/01/04,11:25,2688.54,2691.36,2688.2,2689.67,417738.0,331789312.0,000015
2016/01/04,11:30,2689.61,2689.61,2685.11,2685.5,350182.0,281624576.0,000015
2016/01/04,13:05,2685.42,2685.42,2675.39,2676.0,1150424.0,772169728.0,000015
2016/01/04,13:10,2675.15,2676.73,2670.58,2670.89,812140.0,621371392.0,000015
2016/01/04,13:15,2670.74,2670.74,2662.98,2662.98,752720.0,604011520.0,000015
2016/01/04,13:20,2662.98,2662.98,2662.98,2662.98,0.0,0.0,000015
2016/01/04,13:25,2662.98,2662.98,2662.98,2662.98,0.0,0.0,000015
2016/01/04,13:30,2663.22,2663.83,2653.49,2653.49,737772.0,561993728.0,000015
2016/01/04,13:35,2653.05,2653.3,2605.15,2606.43,2449456.0,1771029504.0,000015
2016/01/04,13:40,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,13:45,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,13:50,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,13:55,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:00,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:05,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:10,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:15,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:20,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:25,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:30,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:35,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:40,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:45,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:50,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,14:55,2606.43,2606.43,2606.43,2606.43,0.0,0.0,000015
2016/01/04,15:00,2606.43,2606.43,2605.65,2605.65,0.0,0.0,000015
2016/01/05,09:35,2550.54,2591.78,2539.77,2591.78,3167095.0,2296187392.0,000015
2016/01/05,09:40,2592.54,2609.79,2592.54,2600.38,1585810.0,1213391104.0,000015
2016/01/05,09:45,2599.41,2603.27,2589.99,2603.27,1140293.0,854911744.0,000015
2016/01/05,09:50,2603.43,2642.07,2603.43,2642.07,1062657.0,830226432.0,000015
2016/01/05,09:55,2641.96,2644.47,2625.29,2625.35,1115990.0,895051776.0,000015
2016/01/05,10:00,2625.77,2633.47,2623.55,2632.34,640290.0,533677056.0,000015
2016/01/05,10:05,2631.54,2632.11,2604.95,2608.34,859901.0,676234752.0,000015
2016/01/05,10:10,2608.91,2615.07,2608.56,2612.23,522582.0,417671680.0,000015
2016/01/05,10:15,2611.43,2625.35,2611.43,2625.24,440063.0,367121920.0,000015
2016/01/05,10:20,2625.64,2627.51,2617.21,2617.21,521970.0,389580800.0,000015
2016/01/05,10:25,2617.39,2618.67,2614.5,2617.14,382896.0,308804608.0,000015
2016/01/05,10:30,2617.56,2622.54,2617.21,2622.32,403752.0,287950848.0,000015
2016/01/05,10:35,2622.52,2632.14,2622.52,2629.71,522386.0,409760768.0,000015
2016/01/05,10:40,2630.49,2630.62,2624.39,2624.93,333574.0,254015488.0,000015
2016/01/05,10:45,2624.99,2625.14,2619.15,2620.46,335553.0,308486144.0,000015
2016/01/05,10:50,2619.14,2624.07,2617.3,2623.54,339693.0,266004480.0,000015
2016/01/05,10:55,2624.79,2628.13,2623.28,2628.06,294265.0,233383936.0,000015
2016/01/05,11:00,2628.15,2633.84,2628.15,2633.65,326700.0,264558592.0,000015
2016/01/05,11:05,2633.14,2644.41,2633.14,2643.02,517385.0,383518720.0,000015
2016/01/05,11:10,2643.33,2644.07,2638.43,2638.43,445746.0,323509248.0,000015
2016/01/05,11:15,2639.38,2639.38,2636.87,2638.32,371088.0,255140864.0,000015
2016/01/05,11:20,2638.82,2639.11,2630.08,2630.82,370198.0,312866816.0,000015
2016/01/05,11:25,2630.46,2633.75,2630.18,2633.58,316782.0,249184256.0,000015
2016/01/05,11:30,2633.78,2635.22,2632.23,2633.01,218651.0,170790912.0,000015
2016/01/05,13:05,2632.67,2635.71,2632.54,2633.71,350253.0,284035072.0,000015
2016/01/05,13:10,2633.49,2633.66,2626.87,2627.1,312659.0,259088384.0,000015
2016/01/05,13:15,2627.41,2628.3,2619.73,2619.96,415976.0,303285248.0,000015
2016/01/05,13:20,2619.99,2620.28,2609.04,2609.7,582142.0,467637248.0,000015
2016/01/05,13:25,2609.99,2617.0,2609.08,2613.4,386162.0,330511360.0,000015
2016/01/05,13:30,2613.06,2613.55,2591.36,2591.36,695802.0,569464832.0,000015
2016/01/05,13:35,2590.41,2593.62,2584.4,2593.29,871890.0,663485440.0,000015
2016/01/05,13:40,2593.98,2598.41,2591.04,2591.45,444964.0,374036480.0,000015
2016/01/05,13:45,2591.43,2605.17,2589.31,2605.17,478532.0,379417600.0,000015
2016/01/05,13:50,2605.12,2605.63,2599.91,2600.12,301928.0,244035584.0,000015
2016/01/05,13:55,2601.48,2601.63,2587.54,2587.54,468438.0,348006400.0,000015
2016/01/05,14:00,2588.25,2593.7,2585.45,2593.7,621426.0,459017216.0,000015
2016/01/05,14:05,2593.99,2596.98,2590.6,2590.6,384396.0,296976384.0,000015
2016/01/05,14:10,2591.42,2591.67,2585.19,2585.33,456940.0,360802304.0,000015
2016/01/05,14:15,2584.27,2584.27,2552.96,2553.61,1891300.0,1247498240.0,000015
2016/01/05,14:20,2553.77,2575.77,2552.9,2572.85,988212.0,732157952.0,000015
2016/01/05,14:25,2573.19,2580.97,2567.29,2580.97,701768.0,519841792.0,000015
2016/01/05,14:30,2583.52,2597.27,2583.07,2593.44,659734.0,482498560.0,000015
2016/01/05,14:35,2594.59,2599.19,2591.14,2599.19,481966.0,388124672.0,000015
2016/01/05,14:40,2598.48,2620.61,2598.23,2620.6,807506.0,646492160.0,000015
2016/01/05,14:45,2620.08,2620.63,2609.68,2610.39,509406.0,406396928.0,000015
2016/01/05,14:50,2610.59,2616.29,2609.24,2615.8,490204.0,395835392.0,000015
2016/01/05,14:55,2615.22,2617.17,2611.73,2613.69,578866.0,448077824.0,000015
2016/01/05,15:00,2613.8,2620.73,2613.25,2619.66,721954.0,577345536.0,000015
2016/01/06,09:35,2619.03,2624.53,2617.11,2619.72,834877.0,645391616.0,000015
2016/01/06,09:40,2620.28,2634.02,2620.28,2631.03,700990.0,518715136.0,000015
2016/01/06,09:45,2630.41,2632.7,2627.28,2627.28,614346.0,462939520.0,000015
2016/01/06,09:50,2627.48,2628.22,2622.58,2627.54,513354.0,417746176.0,000015
2016/01/06,09:55,2628.68,2635.18,2628.32,2635.18,570609.0,441768064.0,000015
2016/01/06,10:00,2634.53,2648.87,2634.53,2646.26,819967.0,614417152.0,000015
2016/01/06,10:05,2646.19,2647.56,2644.87,2647.29,600278.0,455772672.0,000015
2016/01/06,10:10,2647.28,2648.01,2638.9,2638.9,740562.0,553260800.0,000015
2016/01/06,10:15,2639.45,2644.77,2638.87,2644.25,562234.0,419194112.0,000015
2016/01/06,10:20,2644.39,2649.57,2643.49,2649.57,686436.0,507497472.0,000015
2016/01/06,10:25,2649.42,2658.26,2649.42,2657.87,1046167.0,729183744.0,000015
2016/01/06,10:30,2657.61,2657.61,2648.4,2649.21,828399.0,568849920.0,000015
