date,time,open,high,low,close,volume,total,code
2016/01/04,09:35,6706.61,6711.11,6696.57,6710.99,2040319.0,3251428864.0,000009
2016/01/04,09:40,6711.65,6715.76,6675.34,6675.34,1925686.0,2916623872.0,000009
2016/01/04,09:45,6674.05,6674.05,6655.31,6667.19,2162174.0,3203376128.0,000009
2016/01/04,09:50,6666.57,6667.15,6603.96,6603.96,2661442.0,3791640576.0,000009
2016/01/04,09:55,6603.28,6621.86,6600.68,6621.86,2248857.0,3285935104.0,000009
2016/01/04,10:00,6622.21,6624.72,6611.68,6617.74,1737620.0,2538494976.0,000009
2016/01/04,10:05,6618.52,6621.32,6570.75,6570.75,2159338.0,3080144896.0,000009
2016/01/04,10:10,6569.01,6569.01,6481.05,6481.05,3471704.0,4657059840.0,000009
2016/01/04,10:15,6479.14,6479.14,6394.93,6394.93,3741932.0,4927397888.0,000009
2016/01/04,10:20,6395.66,6452.67,6387.05,6452.67,2882524.0,3826548736.0,000009
2016/01/04,10:25,6454.96,6466.25,6434.6,6436.03,2106166.0,2860163072.0,000009
2016/01/04,10:30,6436.13,6467.58,6435.97,6466.21,1457646.0,1985638400.0,000009
2016/01/04,10:35,6465.32,6465.32,6450.68,6458.94,1184614.0,1689931776.0,000009
2016/01/04,10:40,6459.04,6491.76,6459.04,6491.31,1150666.0,1622130688.0,000009
2016/01/04,10:45,6491.21,6491.57,6469.1,6469.16,1071540.0,1484656640.0,000009
2016/01/04,10:50,6468.7,6470.19,6449.42,6449.78,1027898.0,1416781824.0,000009
2016/01/04,10:55,6449.19,6449.23,6444.86,6448.29,964302.0,1342246912.0,000009
2016/01/04,11:00,6448.64,6470.99,6448.64,6470.65,805520.0,1160093696.0,000009
2016/01/04,11:05,6471.35,6472.37,6455.45,6455.45,757316.0,1088671744.0,000009
2016/01/04,11:10,6455.92,6455.92,6435.34,6435.34,897920.0,1292046336.0,000009
2016/01/04,11:15,6433.82,6433.82,6394.36,6394.56,1931176.0,2564907008.0,000009
2016/01/04,11:20,6394.66,6415.29,6394.25,6415.11,1118896.0,1493172224.0,000009
2016/01/04,11:25,6415.35,6418.46,6413.21,6413.21,749696.0,1051418624.0,000009
2016/01/04,11:30,6413.83,6414.03,6393.36,6393.36,926032.0,1269260288.0,000009
2016/01/04,13:05,6393.17,6393.17,6356.39,6356.95,1792980.0,2410385408.0,000009
2016/01/04,13:10,6356.74,6357.7,6334.68,6334.68,1311704.0,1800056832.0,000009
2016/01/04,13:15,6333.46,6333.46,6298.13,6298.13,1591492.0,2084646912.0,000009
2016/01/04,13:20,6298.13,6298.13,6298.13,6298.13,0.0,0.0,000009
2016/01/04,13:25,6298.13,6298.13,6298.13,6298.13,0.0,0.0,000009
2016/01/04,13:30,6294.43,6294.47,6260.33,6260.33,1516280.0,2010271744.0,000009
2016/01/04,13:35,6256.97,6256.97,6161.15,6165.23,4699360.0,5726175232.0,000009
2016/01/04,13:40,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,13:45,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,13:50,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,13:55,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,14:00,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,14:05,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
2016/01/04,14:10,6165.23,6165.23,6165.23,6165.23,0.0,0.0,000009
