date,time,open,high,low,close,volume,total,code
2016/01/04,09:35,2417.02,2417.02,2410.07,2414.62,1466795.0,1726642560.0,000016
2016/01/04,09:40,2415.31,2415.48,2401.89,2401.89,1105862.0,1346863744.0,000016
2016/01/04,09:45,2401.26,2401.26,2396.69,2399.11,1223212.0,1408334336.0,000016
2016/01/04,09:50,2399.08,2399.6,2382.91,2383.96,1455536.0,1753829888.0,000016
2016/01/04,09:55,2384.16,2386.51,2380.98,2386.51,1305483.0,1423717376.0,000016
2016/01/04,10:00,2386.05,2386.16,2380.78,2383.95,1113281.0,1250661376.0,000016
2016/01/04,10:05,2383.81,2384.22,2370.84,2370.84,1228991.0,1476567040.0,000016
2016/01/04,10:10,2370.36,2370.36,2353.28,2353.28,2097056.0,2376934400.0,000016
2016/01/04,10:15,2352.36,2352.82,2332.68,2333.26,2435623.0,2542523392.0,000016
2016/01/04,10:20,2333.62,2349.58,2331.51,2349.58,1980923.0,2117242880.0,000016
2016/01/04,10:25,2350.18,2351.77,2344.01,2345.96,1256839.0,1413898240.0,000016
2016/01/04,10:30,2345.93,2349.54,2345.44,2347.33,962075.0,1075951616.0,000016
2016/01/04,10:35,2346.44,2346.85,2342.18,2344.94,802620.0,891895808.0,000016
2016/01/04,10:40,2345.11,2352.35,2345.11,2351.61,794670.0,830183424.0,000016
2016/01/04,10:45,2351.7,2351.79,2347.5,2348.65,673134.0,713906176.0,000016
2016/01/04,10:50,2348.66,2348.78,2342.82,2342.99,676808.0,761221120.0,000016
2016/01/04,10:55,2343.21,2343.21,2340.25,2341.63,658352.0,697206784.0,000016
2016/01/04,11:00,2341.6,2347.16,2341.45,2346.71,479900.0,531781632.0,000016
2016/01/04,11:05,2346.84,2347.09,2343.01,2343.01,622694.0,583798784.0,000016
2016/01/04,11:10,2343.67,2343.67,2336.08,2336.08,791778.0,831520768.0,000016
2016/01/04,11:15,2335.57,2335.57,2329.04,2329.04,1240004.0,1337948160.0,000016
2016/01/04,11:20,2329.9,2337.01,2329.32,2336.88,812946.0,826148864.0,000016
2016/01/04,11:25,2336.38,2338.45,2335.8,2337.56,573192.0,607817728.0,000016
2016/01/04,11:30,2338.16,2338.16,2334.17,2334.46,515274.0,567259136.0,000016
2016/01/04,13:05,2334.53,2334.53,2325.55,2326.67,1474100.0,1414436864.0,000016
2016/01/04,13:10,2325.65,2327.02,2320.89,2321.57,1204704.0,1299234816.0,000016
2016/01/04,13:15,2321.33,2321.68,2315.61,2315.61,1109810.0,1189955584.0,000016
2016/01/04,13:20,2315.61,2315.61,2315.61,2315.61,0.0,0.0,000016
2016/01/04,13:25,2315.61,2315.61,2315.61,2315.61,0.0,0.0,000016
2016/01/04,13:30,2315.55,2315.55,2306.7,2306.7,1020022.0,1094801408.0,000016
2016/01/04,13:35,2306.02,2306.02,2270.38,2271.37,3539168.0,3661436928.0,000016
2016/01/04,13:40,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,13:45,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,13:50,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,13:55,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:00,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:05,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:10,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:15,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:20,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:25,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:30,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:35,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:40,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:45,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:50,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,14:55,2271.37,2271.37,2271.37,2271.37,0.0,0.0,000016
2016/01/04,15:00,2271.09,2271.09,2270.46,2270.46,0.0,0.0,000016
2016/01/05,09:35,2230.08,2282.21,2223.34,2281.92,4711387.0,4674571264.0,000016
2016/01/05,09:40,2284.18,2290.81,2284.18,2285.12,2641721.0,2798489600.0,000016
2016/01/05,09:45,2284.21,2288.43,2276.07,2288.43,1804259.0,1862818816.0,000016
2016/01/05,09:50,2288.14,2308.59,2288.14,2308.47,1797639.0,2018720768.0,000016
2016/01/05,09:55,2307.68,2309.23,2295.86,2295.86,1729776.0,1845850112.0,000016
2016/01/05,10:00,2295.72,2301.34,2293.77,2299.05,1120070.0,1257502720.0,000016
