date,open,close,high,low,volume,code
2017-08-28 14:55,8.68,8.69,8.69,8.67,237.0,529
2017-08-28 15:00,8.69,8.69,8.69,8.67,404.0,529
2017-08-29 09:35,8.68,8.71,8.71,8.67,1003.0,529
2017-08-29 09:40,8.71,8.71,8.71,8.69,456.0,529
2017-08-29 09:45,8.71,8.7,8.71,8.7,417.0,529
2017-08-29 09:50,8.7,8.71,8.71,8.69,1295.0,529
2017-08-29 09:55,8.71,8.71,8.72,8.7,134.0,529
2017-08-29 10:00,8.71,8.73,8.73,8.71,671.0,529
2017-08-29 10:05,8.73,8.73,8.73,8.72,413.0,529
2017-08-29 10:10,8.73,8.72,8.73,8.71,498.0,529
2017-08-29 10:15,8.71,8.7,8.72,8.7,828.0,529
2017-08-29 10:20,8.7,8.7,8.71,8.7,157.0,529
2017-08-29 10:25,8.7,8.68,8.7,8.67,1753.0,529
2017-08-29 10:30,8.68,8.68,8.69,8.68,621.0,529
2017-08-29 10:35,8.68,8.67,8.68,8.67,416.0,529
2017-08-29 10:40,8.67,8.68,8.68,8.67,574.0,529
2017-08-29 10:45,8.68,8.67,8.68,8.66,268.0,529
2017-08-29 10:50,8.67,8.73,8.73,8.66,1725.0,529
2017-08-29 10:55,8.73,8.8,8.8,8.69,4732.0,529
2017-08-29 11:00,8.8,8.77,8.83,8.77,2176.0,529
2017-08-29 11:05,8.77,8.76,8.78,8.75,300.0,529
2017-08-29 11:10,8.76,8.75,8.79,8.75,268.0,529
2017-08-29 11:15,8.75,8.77,8.78,8.75,402.0,529
2017-08-29 11:20,8.77,8.78,8.78,8.77,367.0,529
2017-08-29 11:25,8.78,8.74,8.78,8.74,769.0,529
2017-08-29 11:30,8.74,8.75,8.76,8.74,214.0,529
2017-08-29 13:05,8.75,8.76,8.76,8.75,208.0,529
2017-08-29 13:10,8.76,8.77,8.77,8.76,117.0,529
2017-08-29 13:15,8.77,8.75,8.77,8.75,101.0,529
2017-08-29 13:20,8.75,8.76,8.76,8.75,294.0,529
2017-08-29 13:25,8.76,8.77,8.77,8.76,154.0,529
2017-08-29 13:30,8.77,8.75,8.77,8.75,239.0,529
2017-08-29 13:35,8.75,8.75,8.75,8.74,160.0,529
2017-08-29 13:40,8.75,8.76,8.76,8.74,219.0,529
2017-08-29 13:45,8.76,8.73,8.76,8.73,179.0,529
2017-08-29 13:50,8.73,8.73,8.73,8.72,609.0,529
2017-08-29 13:55,8.73,8.75,8.75,8.73,205.0,529
2017-08-29 14:00,8.75,8.74,8.75,8.74,161.0,529
2017-08-29 14:05,8.74,8.72,8.74,8.71,532.0,529
2017-08-29 14:10,8.72,8.71,8.74,8.71,327.0,529
2017-08-29 14:15,8.71,8.71,8.72,8.71,267.0,529
2017-08-29 14:20,8.71,8.7,8.71,8.7,267.0,529
2017-08-29 14:25,8.7,8.72,8.72,8.7,590.0,529
2017-08-29 14:30,8.72,8.71,8.72,8.71,112.0,529
2017-08-29 14:35,8.71,8.71,8.74,8.71,492.0,529
2017-08-29 14:40,8.71,8.73,8.74,8.71,435.0,529
2017-08-29 14:45,8.73,8.71,8.73,8.71,973.0,529
2017-08-29 14:50,8.71,8.7,8.71,8.69,611.0,529
2017-08-29 14:55,8.7,8.7,8.72,8.7,1004.0,529
2017-08-29 15:00,8.7,8.71,8.71,8.7,504.0,529
2017-08-30 09:35,8.72,8.75,8.76,8.71,1480.0,529
2017-08-30 09:40,8.75,8.79,8.79,8.74,1108.0,529
2017-08-30 09:45,8.79,8.8,8.81,8.78,2286.0,529
2017-08-30 09:50,8.8,8.8,8.81,8.79,2320.0,529
2017-08-30 09:55,8.8,8.8,8.81,8.79,1770.0,529
2017-08-30 10:00,8.8,8.9,8.93,8.8,5373.0,529
2017-08-30 10:05,8.9,8.89,8.92,8.85,1735.0,529
2017-08-30 10:10,8.89,8.88,8.89,8.87,1273.0,529
2017-08-30 10:15,8.88,8.88,8.88,8.85,1056.0,529
2017-08-30 10:20,8.88,8.88,8.89,8.88,1116.0,529
2017-08-30 10:25,8.88,8.86,8.89,8.86,1410.0,529
2017-08-30 10:30,8.86,8.86,8.88,8.85,1083.0,529
2017-08-30 10:35,8.86,8.9,8.9,8.86,2855.0,529
2017-08-30 10:40,8.9,8.9,8.91,8.89,1143.0,529
2017-08-30 10:45,8.9,8.92,8.93,8.89,1652.0,529
2017-08-30 10:50,8.93,8.92,8.93,8.92,1577.0,529
2017-08-30 10:55,8.92,8.95,8.95,8.91,3345.0,529
2017-08-30 11:00,8.95,8.99,9.0,8.95,4575.0,529
2017-08-30 11:05,8.99,8.95,8.99,8.94,1442.0,529
2017-08-30 11:10,8.95,8.98,8.98,8.94,579.0,529
2017-08-30 11:15,8.98,8.98,8.98,8.96,472.0,529
2017-08-30 11:20,8.98,8.96,8.98,8.95,773.0,529
2017-08-30 11:25,8.96,8.95,8.96,8.93,639.0,529
2017-08-30 11:30,8.95,8.94,8.95,8.94,258.0,529
2017-08-30 13:05,8.94,8.95,8.95,8.94,535.0,529
2017-08-30 13:10,8.95,8.95,8.95,8.94,403.0,529
2017-08-30 13:15,8.95,8.93,8.95,8.92,479.0,529
2017-08-30 13:20,8.93,8.92,8.94,8.92,437.0,529
2017-08-30 13:25,8.92,8.93,8.93,8.91,153.0,529
2017-08-30 13:30,8.93,8.92,8.94,8.92,401.0,529
2017-08-30 13:35,8.92,8.91,8.93,8.91,699.0,529
2017-08-30 13:40,8.91,8.94,8.94,8.91,662.0,529
2017-08-30 13:45,8.94,8.93,8.94,8.92,256.0,529
2017-08-30 13:50,8.93,8.93,8.94,8.92,280.0,529
2017-08-30 13:55,8.93,8.94,8.94,8.92,466.0,529
2017-08-30 14:00,8.94,8.94,8.94,8.93,388.0,529
2017-08-30 14:05,8.94,8.93,8.94,8.93,224.0,529
2017-08-30 14:10,8.93,8.92,8.93,8.91,488.0,529
2017-08-30 14:15,8.92,8.93,8.93,8.91,414.0,529
2017-08-30 14:20,8.93,8.93,8.93,8.92,365.0,529
2017-08-30 14:25,8.93,8.93,8.93,8.92,323.0,529
2017-08-30 14:30,8.93,8.94,8.94,8.92,902.0,529
2017-08-30 14:35,8.94,8.91,8.94,8.91,1261.0,529
2017-08-30 14:40,8.91,8.91,8.92,8.91,512.0,529
2017-08-30 14:45,8.91,8.92,8.92,8.91,1198.0,529
2017-08-30 14:50,8.92,8.9,8.92,8.9,1738.0,529
2017-08-30 14:55,8.91,8.92,8.92,8.9,1642.0,529
